placebo_chemo,,camr_chemo,
X,Y,X,Y
0.178704185,1,0.111817005,0.995059289
0.580821703,0.994071146,0.536244961,0.990118577
0.938230073,0.990118577,1.027604233,0.988142292
1.295726714,0.982213439,1.51900764,0.984189723
1.720088467,0.980237154,2.077320295,0.984189723
2.100005885,0.968379447,2.814469542,0.976284585
2.658715758,0.950592885,2.948685256,0.966403162
3.083165782,0.944664032,3.462465305,0.960474308
3.708696633,0.934782609,4.020866231,0.956521739
3.97695152,0.922924901,4.333918536,0.938735178
4.245250542,0.909090909,4.646926706,0.922924901
4.513284752,0.907114625,5.116085878,0.915019763
4.870825528,0.897233202,5.495915025,0.907114625
5.116659638,0.889328063,5.674884022,0.893280632
5.49653292,0.87944664,6.054713169,0.885375494
5.809717632,0.855731225,6.390053845,0.869565217
6.100260889,0.845849802,6.614040938,0.839920949
6.435469159,0.835968379,6.949160937,0.833992095
6.681700487,0.81027668,7.194950912,0.828063241
6.994620387,0.798418972,7.351719809,0.808300395
7.285384321,0.778656126,7.709128179,0.804347826
7.486465148,0.774703557,7.932718053,0.792490119
7.799649859,0.750988142,8.424827627,0.756916996
8.045660511,0.735177866,9.094935219,0.750988142
8.314047804,0.717391304,9.698574917,0.721343874
8.67167685,0.703557312,9.989118175,0.711462451
8.873066625,0.685770751,10.41427437,0.673913043
9.141321512,0.673913043,10.97302837,0.654150198
9.342667151,0.658102767,11.71057484,0.628458498
9.521415471,0.654150198,12.15753391,0.614624506
9.856888553,0.632411067,12.44869506,0.577075099
10.12549652,0.604743083,12.64973175,0.575098814
10.55043204,0.577075099,12.8512098,0.553359684
10.95277023,0.561264822,13.87850509,0.553359684
11.31048755,0.543478261,14.50465383,0.515810277
11.53473945,0.501976285,14.90668308,0.513833992
11.98143371,0.5,15.19735874,0.498023715
12.33901863,0.488142292,15.53252288,0.490118577
12.71884777,0.480237154,15.68933591,0.468379447
12.92032582,0.458498024,16.18091586,0.456521739
13.27804313,0.440711462,16.53858904,0.440711462
13.56889534,0.416996047,17.23094087,0.438735178
14.01576614,0.407114625,17.90118087,0.42687747
14.50739023,0.393280632,,
14.77573338,0.377470356,,
15.24493669,0.367588933,,
15.55785659,0.355731225,,
15.75911396,0.343873518,,
16.25051736,0.339920949,,
16.71985308,0.324110672,,
16.8765337,0.308300395,,
17.30093959,0.304347826,,
17.72547789,0.294466403,,
17.8818275,0.293478261,,
